name,shashank_ratings
Nut&Honey Crunch,1
100% Natural Bran,3
Froot Loops,1
Corn Flakes,5
Raisin Bran,3
Nutri-Grain Almond-Raisin,3
Cap'n'Crunch,1
Smacks,3
Cheerios,1
Life,1
Cracklin' Oat Bran,4
Grape-Nuts,5
Maypo,1
Rice Chex,1
Fruitful Bran,3
Post Nat. Raisin Bran,1
Lucky Charms,5
Crispix,5
All-Bran with Extra Fiber,4
Raisin Nut Bran,2
Nutri-grain Wheat,3
100% Bran,2
Mueslix Crispy Blend,2
Corn Chex,1
Triples,2
Shredded Wheat spoon size,5
Raisin Squares,5
Basic 4,2
Just Right Fruit & Nut,5
Bran Chex,4
Special K,5
Double Chex,4
Wheaties,3
Crispy Wheat & Raisins,5
Strawberry Fruit Wheats,3
Golden Crisp,5
Shredded Wheat 'n'Bran,1
Muesli Raisins; Peaches; & Pecans,3
Product 19,5
Multi-Grain Cheerios,3
Trix,4
Great Grains Pecan,4
Corn Pops,5
Apple Jacks,1
Rice Krispies,3
Fruit & Fibre Dates; Walnuts; and Oats,2
Cocoa Puffs,3
Wheat Chex,2
Golden Grahams,2
Frosted Mini-Wheats,2
Total Corn Flakes,2
Count Chocula,1
Muesli Raisins; Dates; & Almonds,4
Oatmeal Raisin Crisp,3
Apple Cinnamon Cheerios,5
All-Bran,2
Bran Flakes,3
Just Right Crunchy  Nuggets,1
Honey Graham Ohs,5
Cream of Wheat (Quick),3
Wheaties Honey Gold,1
Quaker Oat Squares,3
Shredded Wheat,2
Total Raisin Bran,4
Honey-comb,2
Total Whole Grain,2
Puffed Wheat,5
Grape Nuts Flakes,4
Kix,1
Clusters,4
Fruity Pebbles,4
Almond Delight,3
Puffed Rice,4
Cinnamon Toast Crunch,1
Frosted Flakes,1
Quaker Oatmeal,1
Honey Nut Cheerios,2
